job_id,config,project,initial_numPass,is_success,max_numPass,final_fitness,final_iteration,optimal_iteration,first_improvement_iteration,convergence_90_iteration,total_evaluations,actual_executions,predictions,duration_seconds,prediction_rate,time_to_first_improvement_sec
44,FI-50,FruitCatching-11,12,False,13,28.69073874180335,150,,3.0,22,7248,3500,3748,12171.0,51.71081677704195,243.42000000000002
45,FI-50,FruitCatching-12,0,False,2,20.29334220165706,262,,12.0,48,12624,6102,6522,12117.0,51.663498098859314,554.9770992366413
46,FI-50,FruitCatching-13,1,False,9,16.735714285714284,177,,14.0,7,8544,4341,4203,12128.0,49.19241573033708,959.2768361581922
47,FI-50,FruitCatching-14,22,False,22,25.977272727272727,100,,,0,4848,2534,2314,8735.0,47.73102310231023,
48,FI-50,FruitCatching-15,21,False,23,26.55035460992908,131,,3.0,0,6336,3286,3050,12089.0,48.13762626262626,276.8473282442748
49,FI-50,FruitCatching-16,7,False,25,27.1,100,,1.0,0,4848,2569,2279,4743.0,47.009075907590756,47.43
50,FI-50,FruitCatching-17,3,False,11,24.96147614271449,177,,3.0,3,8544,4090,4454,12094.0,52.13014981273408,204.98305084745763
51,FI-50,FruitCatching-18,9,False,21,25.73272098609408,111,,1.0,1,5376,2752,2624,12084.0,48.80952380952381,108.86486486486487
52,FI-50,FruitCatching-19,18,False,20,25.523552412929654,120,,8.0,0,5808,3009,2799,12123.0,48.192148760330575,808.2
53,FI-50,FruitCatching-2,12,False,18,23.97302600285397,127,,1.0,0,6144,3079,3065,12073.0,49.88606770833333,95.06299212598425
54,FI-50,FruitCatching-20,20,False,20,25.37219887955182,89,,,0,4320,2248,2072,12152.0,47.96296296296296,
55,FI-50,FruitCatching-21,18,False,23,26.248809523809523,108,,1.0,0,5232,2672,2560,12174.0,48.92966360856269,112.72222222222221
56,FI-50,FruitCatching-22,5,False,13,27.044126374286403,190,,1.0,14,9168,4425,4743,12157.0,51.73429319371727,63.984210526315785
57,FI-50,FruitCatching-23,5,False,11,23.77522599849501,95,,1.0,18,4608,2247,2361,12184.0,51.236979166666664,128.25263157894736
58,FI-50,FruitCatching-24,17,False,18,24.518999245315584,86,,2.0,0,4176,2210,1966,12202.0,47.07854406130268,283.7674418604651
59,FI-50,FruitCatching-25,2,False,13,26.925477392685814,150,,1.0,28,7248,3481,3767,12146.0,51.97295805739515,80.97333333333334
60,FI-50,FruitCatching-26,16,False,17,25.670471415465087,132,,1.0,0,6384,3199,3185,12199.0,49.890350877192986,92.41666666666667
61,FI-50,FruitCatching-27,17,False,19,24.109069639416457,93,,2.0,0,4512,2440,2072,12231.0,45.92198581560284,263.03225806451616
62,FI-50,FruitCatching-28,26,False,26,27.433333333333334,80,,,0,3888,1991,1897,12194.0,48.791152263374485,
63,FI-50,FruitCatching-29,21,False,21,25.80227272727273,141,,,0,6816,3568,3248,12079.0,47.652582159624416,
64,FI-50,FruitCatching-3,12,False,17,25.18575930678089,139,,1.0,0,6720,3330,3390,12151.0,50.44642857142857,87.41726618705036
65,FI-50,FruitCatching-30,13,False,21,24.969116994116995,182,,1.0,1,8784,4547,4237,12086.0,48.23542805100182,66.40659340659342
66,FI-50,FruitCatching-31,15,False,16,25.11365028398132,75,,1.0,0,3648,1798,1850,12324.0,50.71271929824561,164.32000000000002
67,FI-50,FruitCatching-32,22,False,23,25.835162731911534,110,,1.0,0,5328,2715,2613,12195.0,49.042792792792795,110.86363636363636
68,FI-50,FruitCatching-33,17,False,19,24.99567901234568,105,,2.0,0,5088,2704,2384,12078.0,46.855345911949684,230.05714285714288
69,FI-50,FruitCatching-34,24,False,24,26.228921270997773,100,,,0,4848,2514,2334,11156.0,48.14356435643564,
70,FI-50,FruitCatching-35,23,False,23,26.152380952380955,101,,,0,4896,2565,2331,11823.0,47.61029411764706,
71,FI-50,FruitCatching-36,4,False,10,26.984828473661228,132,,1.0,32,6384,2991,3393,12118.0,53.1484962406015,91.80303030303031
