config,mean_time_sec,median_time_sec,std_time_sec,min_time_sec,max_time_sec,num_runs,speedup_vs_baseline,time_saved_pct
FI-00,11902.86,12102.0,1052.73,2597.0,12504.0,615,1.0,0.0
FI-50,11084.49,12059.0,2098.49,400.0,12521.0,615,1.073830189751626,6.875406414928853
FI-70,10653.17,12051.0,2633.62,1600.0,12263.0,615,1.1173068673455884,10.499073331955522
TO-50,10501.92,12051.0,2424.01,1127.0,12277.0,615,1.1333984642808173,11.769776339467997
TO-70,8501.19,8907.0,3230.47,784.0,12208.0,615,1.4001404509251059,28.578593716132083
